
################################################
# ITK-SnAP Label Description File
# File format:
# IDX   -R-  -G-  -B-  -A--  VIS MSH  LABEL
# Fields:
#    IDX:   Zero-based index
#    -R-:   Red color component (0..255)
#    -G-:   Green color component (0..255)
#    -B-:   Blue color component (0..255)
#    -A-:   Label transparency (0.00 .. 1.00)
#    VIS:   Label visibility (0 or 1)
#    IDX:   Label mesh visibility (0 or 1)
#  LABEL:   Label description
################################################
1	0	255	0	0	0	0	"L_A8m"
2	0	0	255	1	1	1	"R_A8m"
3	255	0	0	1	1	1	"L_A8dl"
4	0	246	255	1	1	1	"R_A8dl"
5	255	123	220	1	1	1	"L_A9l"
6	255	220	123	1	1	1	"R_A9l"
7	0	141	255	1	1	1	"L_A6dl"
8	0	106	9	1	1	1	"R_A6dl"
9	158	70	53	1	1	1	"L_A6m"
10	62	0	106	1	1	1	"R_A6m"
11	255	237	255	1	1	1	"L_A9m"
12	141	255	158	1	1	1	"R_A9m"
13	229	0	255	1	1	1	"L_A10m"
14	79	123	141	1	1	1	"R_A10m"
15	220	255	0	1	1	1	"L_A9/46d"
16	255	0	106	1	1	1	"R_A9/46d"
17	237	132	0	1	1	1	"L_IFJ"
18	123	88	246	1	1	1	"R_IFJ"
19	141	0	88	1	1	1	"L_A46"
20	123	106	0	1	1	1	"R_A46"
21	158	185	141	1	1	1	"L_A9/46v"
22	141	106	176	1	1	1	"R_A9/46v"
23	97	185	0	1	1	1	"L_A8vl"
24	255	158	176	1	1	1	"R_A8vl"
25	0	44	97	1	1	1	"L_A6vl"
26	62	193	255	1	1	1	"R_A6vl"
27	62	79	44	1	1	1	"L_A10l"
28	167	9	167	1	1	1	"R_A10l"
29	97	62	79	1	1	1	"L_A44d"
30	0	185	141	1	1	1	"R_A44d"
31	255	211	0	1	1	1	"L_IFS"
32	255	106	79	1	1	1	"R_IFS"
33	0	0	158	1	1	1	"L_A45c"
34	70	0	0	1	1	1	"R_A45c"
35	237	185	255	1	1	1	"L_A45r"
36	202	149	106	1	1	1	"R_A45r"
37	255	0	167	1	1	1	"L_A44op"
38	220	255	123	1	1	1	"R_A44op"
39	44	70	176	1	1	1	"L_A44v"
40	158	167	0	1	1	1	"R_A44v"
41	149	211	220	1	1	1	"L_A14m"
42	176	149	167	1	1	1	"R_A14m"
43	202	132	255	1	1	1	"L_A12/47o"
44	0	255	114	1	1	1	"R_A12/47o"
45	167	0	0	1	1	1	"L_A11l"
