index	name	color	x	y	z	networks	lobe
73	L_TE1.0-TE1.2_SomMot	#ff9e61	-48.245	-15.114	2.367	L_SomMot	temporal
74	R_TE1.0-TE1.2_SomMot	#8446b9	48.548	-9.466	-1.578	R_SomMot	temporal
75	L_A22c_SomMot	#b0469e	-61.746	-30.468	3.394	L_SomMot	temporal
76	R_A22c_SomMot	#9595ff	66.314	-25.652	5.733	R_SomMot	temporal
77	L_A38l_Limbic	#ff6a7b	-43.236	8.468	-20.358	L_Limbic	temporal
78	R_A38l_Limbic	#006aff	45.579	10.486	-20.646	R_Limbic	temporal
79	L_A22r_Default	#7209b0	-51.827	-5.264	-11.022	L_Default	temporal
80	R_A22r_Default	#b0a74f	56.281	-26.393	0.879	R_Default	temporal
81	L_A21c_Default	#e54f00	-63.182	-32.75	-11.788	L_Default	temporal
82	R_A21c_Default	#000046	61.188	-31.63	-13.01	R_Default	temporal
83	L_A21r_Default	#352312	-52.683	-1.294	-27.826	L_Default	temporal
84	R_A21r_Default	#588d00	49.817	4.821	-31.481	R_Default	temporal
85	L_A37dl_DorsAttn	#002309	-58.109	-58.189	3.946	L_DorsAttn	temporal
86	R_A37dl_DorsAttn	#1ad312	57.395	-52.382	2.76	R_DorsAttn	temporal
87	L_aSTS_Default	#7b2c3e	-53.64	-26.068	-7.73	L_Default	temporal
88	R_aSTS_Default	#585884	53.033	-16.742	-9.123	R_Default	temporal
89	L_A20iv_Limbic	#eded46	-44.343	-19.047	-25.179	L_Limbic	temporal
90	R_A20iv_Limbic	#003e00	44.775	-13.455	-31.264	R_Limbic	temporal
91	L_A37elv_DorsAttn	#d3e5d3	-50.362	-56.785	-12.295	L_DorsAttn	temporal
92	R_A37elv_DorsAttn	#720000	52.555	-48.409	-16.692	R_DorsAttn	temporal
93	L_A20r_Limbic	#caf6a7	-43.359	-1.702	-39.456	L_Limbic	temporal
94	R_A20r_Limbic	#a7d309	37.977	3.078	-42.461	R_Limbic	temporal
95	L_A20il_Limbic	#f68d7b	-55.493	-21.105	-23.496	L_Limbic	temporal
96	R_A20il_Limbic	#1a8d4f	54.701	-13.572	-31.026	R_Limbic	temporal
97	L_A37vl_DorsAttn	#728d7b	-54.41	-60.177	-4.391	L_DorsAttn	temporal
98	R_A37vl_DorsAttn	#c10084	53.036	-56.862	-8.728	R_DorsAttn	temporal
99	L_A20cl_Cont	#00122c	-56.804	-42.838	-14.524	L_Cont	temporal
100	R_A20cl_Cont	#6adcca	59.094	-42.231	-16.275	R_Cont	temporal
101	L_A20cv_Limbic	#464f00	-52.35	-32.157	-24.915	L_Limbic	temporal
102	R_A20cv_Limbic	#95612c	52.242	-33.142	-22.678	R_Limbic	temporal
103	L_A20rv_Limbic	#b9726a	-33.759	-17.91	-26.021	L_Limbic	temporal
104	R_A20rv_Limbic	#001a8d	35.553	-16.779	-28.485	R_Limbic	temporal
105	L_A37mv_Vis	#00ff9e	-29.643	-64.011	-14.62	L_Vis	temporal
106	R_A37mv_Vis	#ffb009	29.755	-59.81	-13.683	R_Vis	temporal
107	L_A37lv_DorsAttn	#7bca8d	-41.638	-48.101	-15.142	L_DorsAttn	temporal
108	R_A37lv_DorsAttn	#7bed61	42.891	-47.25	-16.29	R_DorsAttn	temporal
109	L_A35-36r_Limbic	#4f5858	-26.041	-6.024	-33.492	L_Limbic	temporal
110	R_A35-36r_Limbic	#dc84c1	24.686	-7.901	-33.484	R_Limbic	temporal
111	L_A35-36c_Limbic	#720072	-20.723	-24.006	-25.338	L_Limbic	temporal
112	R_A35-36c_Limbic	#d3c18d	22.035	-20.562	-25.848	R_Limbic	temporal
113	L_TL_Vis	#b9c1dc	-26.244	-32.486	-16.835	L_Vis	temporal
114	R_TL_Vis	#4f61b0	31.147	-29.176	-18.229	R_Vis	temporal
115	L_A28-34_Limbic	#580035	-18.713	-15.216	-24.148	L_Limbic	temporal
116	R_A28-34_Limbic	#c14f61	19.218	-11.576	-25.737	R_Limbic	temporal
117	L_TI_Limbic	#46357b	-23.25	1.968	-28.187	L_Limbic	temporal
118	R_TI_Limbic	#dcc135	23.65	3.259	-36.206	R_Limbic	temporal
119	L_TH_Vis	#b9a795	-14.773	-37.238	-10.031	L_Vis	temporal
120	R_TH_Vis	#dc61e5	18.102	-35.312	-9.978	R_Vis	temporal
121	L_rpSTS_Default	#8d7b46	-53.657	-41.436	4.812	L_Default	temporal
122	R_rpSTS_Default	#008db9	51.027	-36.675	3.152	R_Default	temporal
123	L_cpSTS_SomMot	#093ed3	-50.223	-49.832	10.763	L_SomMot	temporal
124	R_cpSTS_SomMot	#726ae5	52.381	-40.093	11.6	R_SomMot	temporal
125	L_A7r_DorsAttn	#ffc1e5	-16.64	-60.488	61.001	L_DorsAttn	parietal
126	R_A7r_DorsAttn	#4695e5	18.82	-60.104	61.616	R_DorsAttn	parietal
127	L_A7c_DorsAttn	#009500	-17.429	-68.689	49.609	L_DorsAttn	parietal
128	R_A7c_DorsAttn	#2c0912	20.287	-68.512	50.424	R_DorsAttn	parietal
129	L_A5l_DorsAttn	#c14f2c	-33.924	-46.336	49.532	L_DorsAttn	parietal
130	R_A5l_DorsAttn	#ffc184	34.759	-43.435	55.236	R_DorsAttn	parietal
131	L_A7pc_SomMot	#2c2c35	-21.216	-48.286	64.7	L_SomMot	parietal
132	R_A7pc_SomMot	#35dcff	21.102	-46.704	65.484	R_SomMot	parietal
133	L_A7ip_DorsAttn	#d3353e	-27.787	-56.69	50.304	L_DorsAttn	parietal
134	R_A7ip_DorsAttn	#8d6a8d	30.189	-53.761	50.964	R_DorsAttn	parietal
135	L_A39c_Vis	#6ab095	-32.113	-78.724	27.542	L_Vis	parietal
136	R_A39c_Vis	#2300ca	44.008	-68.385	17.909	R_Vis	parietal
137	L_A39rd_Cont	#d3dc7b	-39.787	-60.915	44.509	L_Cont	parietal
138	R_A39rd_Cont	#7b3500	37.215	-64.034	42.858	R_Cont	parietal
139	L_A40rd_DorsAttn	#a700d3	-49.601	-34.888	39.776	L_DorsAttn	parietal
140	R_A40rd_DorsAttn	#124f72	43.595	-38.027	42.978	R_DorsAttn	parietal
141	L_A40c_Cont	#094f3e	-54.471	-50.167	37.024	L_Cont	parietal
142	R_A40c_Cont	#f69eff	56.033	-43.359	36.784	R_Cont	parietal
143	L_A39rv_Default	#72b0d3	-43.893	-61.62	23.93	L_Default	parietal
144	R_A39rv_Default	#6a3e35	50.363	-52.953	24.152	R_Default	parietal
145	L_A40rv_SalVentAttn	#356a35	-49.752	-32.886	21.777	L_SalVentAttn	parietal
146	R_A40rv_SalVentAttn	#dc3eb9	54.743	-28.432	25.779	R_SalVentAttn	parietal
147	L_A7m_Cont	#00ca46	-6.972	-62.44	49.745	L_Cont	parietal
148	R_A7m_Cont	#3e2c4f	8.15	-64.458	50.913	R_Cont	parietal
149	L_A5m_SalVentAttn	#f60984	-10.507	-46.834	57.233	L_SalVentAttn	parietal
150	R_A5m_SalVentAttn	#b995ca	10.003	-46.624	57.16	R_SalVentAttn	parietal
151	L_dmPOS_Default	#dc1212	-12.335	-65.826	25.72	L_Default	parietal
152	R_dmPOS_Default	#b0fff6	15.943	-61.813	23.721	R_Default	parietal
153	L_A31_Default	#3edc95	-8.013	-52.671	35.759	L_Default	parietal
154	R_A31_Default	#a7ca46	8.676	-52.001	36.906	R_Default	parietal
155	L_A1-2-3ulhf_SomMot	#848db0	-49.175	-17.523	41.963	L_SomMot	parietal
156	R_A1-2-3ulhf_SomMot	#5835b9	47.749	-14.992	42.776	R_SomMot	parietal
157	L_A1-2-3tonIa_SomMot	#c195ed	-54.593	-15.058	17.014	L_SomMot	parietal
158	R_A1-2-3tonIa_SomMot	#617200	55.185	-11.278	17.289	R_SomMot	parietal
159	L_A2_Limbic	#ff84b9	-43.755	-32.096	50.44	L_Limbic	parietal
160	R_A2_Limbic	#b90061	46.756	-26.081	47.414	R_Limbic	parietal
161	L_A1-2-3tru_SomMot	#a7ed7b	-20.443	-35.218	68.285	L_SomMot	parietal
162	R_A1-2-3tru_SomMot	#fff600	20.985	-34.215	69.05	R_SomMot	parietal
163	L_G_Vis	#ffc14f	-35.243	-22.824	10.945	L_Vis	temporal
164	R_G_Vis	#dc6a23	35.246	-21.939	10.579	R_Vis	temporal
165	L_vIa_Default	#7b0023	-29.835	14.622	-12.619	L_Default	temporal
166	R_vIa_Default	#c1ff58	33.93	15.788	-10.791	R_Default	temporal
167	L_dIa_SalVentAttn	#9eb9b0	-32.412	16.856	2.757	L_SalVentAttn	temporal
168	R_dIa_SalVentAttn	#b94684	34.115	17.884	2.343	R_SalVentAttn	temporal
169	L_vId-vIg_SalVentAttn	#ca7b46	-38.359	-3.89	-10.481	L_SalVentAttn	temporal
170	R_vId-vIg_SalVentAttn	#b06aca	38.999	-2.049	-9.676	R_SalVentAttn	temporal
171	L_dIg_SomMot	#4f953e	-37.748	-9.084	11.377	L_SomMot	temporal
172	R_dIg_SomMot	#003e8d	37.995	-9.826	12.141	R_SomMot	temporal
173	L_dId_SalVentAttn	#582cd3	-36.792	3.724	8.903	L_SalVentAttn	temporal
174	R_dId_SalVentAttn	#f64fb0	36.445	4.208	10.107	R_SalVentAttn	temporal
175	L_A23d_Default	#9e8d09	-3.518	-37.637	31.106	L_Default	frontal
176	R_A23d_Default	#7b7b84	4.404	-37.157	31.66	R_Default	frontal
177	L_A24rv_Cont	#843561	-4.007	4.376	28.719	L_Cont	frontal
178	R_A24rv_Cont	#6a9e6a	4.98	16.618	23.901	R_Cont	frontal
179	L_A32p_Default	#95616a	-8.207	34.732	21.117	L_Default	frontal
180	R_A32p_Default	#6aca58	6.493	25.484	27.567	R_Default	frontal
181	L_A23v_Default	#d39e9e	-7.913	-45.68	7.657	L_Default	frontal
182	R_A23v_Default	#9e5895	8.301	-42.96	13.142	R_Default	frontal
183	L_A24cd_SalVentAttn	#1a237b	-4.208	4.31	37.465	L_SalVentAttn	frontal
184	R_A24cd_SalVentAttn	#3e094f	5.206	4.364	38.844	R_SalVentAttn	frontal
185	L_A23c_SalVentAttn	#dcc1ca	-10.27	-24.827	40.398	L_SalVentAttn	frontal
186	R_A23c_SalVentAttn	#953eed	9.081	-21.932	40.535	R_SalVentAttn	frontal
187	L_A32sg_Default	#a761ed	-4.937	38.685	-4.064	L_Default	frontal
188	R_A32sg_Default	#614f2c	5.785	39.922	5.987	R_Default	frontal
189	L_cLinG_Vis	#006a6a	-14.079	-82.035	-9.933	L_Vis	occipital
190	R_cLinG_Vis	#fff67b	11.946	-87.208	-8.57	R_Vis	occipital
191	L_rCunG_Vis	#58ffe5	-4.555	-81.109	6.738	L_Vis	occipital
192	R_rCunG_Vis	#d3edff	6.77	-76.578	9.354	R_Vis	occipital
193	L_cCunG_Vis	#6123ff	-8.724	-94.718	-0.517	L_Vis	occipital
194	R_cCunG_Vis	#6a098d	11.012	-90.946	12.227	R_Vis	occipital
195	L_rLinG_Vis	#843e95	-19.654	-58.252	-5.822	L_Vis	occipital
196	R_rLinG_Vis	#6a724f	19.639	-58.45	-6.001	R_Vis	occipital
197	L_vmPOS_Vis	#84ffc1	-16.303	-66.12	7.365	L_Vis	occipital
198	R_vmPOS_Vis	#9e0084	17.99	-61.853	5.889	R_Vis	occipital
199	L_mOccG_Vis	#619e9e	-29.687	-87.036	9.809	L_Vis	occipital
200	R_mOccG_Vis	#ca00ca	32.658	-84.495	8.776	R_Vis	occipital
201	L_V5-MT+_Vis	#236adc	-43.994	-68.945	4.024	L_Vis	occipital
202	R_V5-MT+_Vis	#232c00	45.554	-68.013	-0.469	R_Vis	occipital
203	L_OPC_Vis	#dc6158	-18.559	-98.66	1.513	L_Vis	occipital
204	R_OPC_Vis	#727bb9	22.942	-96.881	1.125	R_Vis	occipital
205	L_iOccG_Vis	#951246	-31.713	-86.051	-11.437	L_Vis	occipital
206	R_iOccG_Vis	#d3caff	29.692	-83.079	-10.36	R_Vis	occipital
207	L_msOccG_Vis	#b900ff	-11.232	-87.737	28.444	L_Vis	occipital
208	R_msOccG_Vis	#009e8d	18.368	-85.105	33.837	R_Vis	occipital
209	L_lsOccG_Vis	#d395b9	-22.561	-76.022	35.883	L_Vis	occipital
210	R_lsOccG_Vis	#2c5800	28.195	-72.287	32.174	R_Vis	occipital
211	L_mAmyg_Subcort	#808080	0	0	0	L_Subcort	subcortical
212	R_mAmyg_Subcort	#808080	0	0	0	R_Subcort	subcortical
213	L_lAmyg_Subcort	#808080	0	0	0	L_Subcort	subcortical
214	R_lAmyg_Subcort	#808080	0	0	0	R_Subcort	subcortical
215	L_rHipp_Subcort	#808080	0	0	0	L_Subcort	subcortical
