index	full_name	x	y	z
213	lAmyg, lateral amygdala	-27	-4	-20
214	lAmyg, lateral amygdala	28	-3	-20
215	rHipp, rostral hippocampus	-22	-14	-19
216	rHipp, rostral hippocampus	22	-12	-20
217	cHipp, caudal hippocampus	-28	-30	-10
218	cHipp, caudal hippocampus	29	-27	-10
219	vCa, ventral caudate	-12	14	0
220	vCa, ventral caudate	15	14	-2
221	GP, globus pallidus	-22	-2	4
222	GP, globus pallidus	22	-2	3
223	NAC, nucleus accumbens	-17	3	-9
224	NAC, nucleus accumbens	15	8	-9
225	vmPu, ventromedial putamen	-23	7	-4
226	vmPu, ventromedial putamen	22	8	-1
227	dCa, dorsal caudate	-14	2	16
228	dCa, dorsal caudate	14	5	14
229	dlPu, dorsolateral putamen	-28	-5	2
230	dlPu, dorsolateral putamen	29	-3	1
231	mPFtha, medial pre-frontal thalamus	-7	-12	5
232	mPFtha, medial pre-frontal thalamus	7	-11	6
233	mPMtha, pre-motor thalamus	-18	-13	3
234	mPMtha, pre-motor thalamus	12	-14	1
235	Stha, sensory thalamus	-18	-23	4
236	Stha, sensory thalamus	18	-22	3
237	rTtha, rostral temporal thalamus	-7	-14	7
238	rTtha, rostral temporal thalamus	3	-13	5
239	PPtha, posterior parietal thalamus	-16	-24	6
240	PPtha, posterior parietal thalamus	15	-25	6
241	Otha, occipital thalamus	-15	-28	4
242	Otha, occipital thalamus	13	-27	8
243	cTtha, caudal temporal thalamus	-12	-22	13
244	cTtha, caudal temporal thalamus	10	-14	14
245	lPFtha, lateral pre-frontal thalamus	-11	-14	2
246	lPFtha, lateral pre-frontal thalamus	13	-16	7
